subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
All polls,9/18/2018,48.83349,53.4167,44.25029,39.8204,43.82842,35.81238,15:27:18 18 Sep 2018
All polls,9/17/2018,48.99541,53.52506,44.46576,39.89773,43.87387,35.92159,12:43:18 17 Sep 2018
All polls,9/16/2018,49.00679,53.52383,44.48976,39.90728,43.88107,35.93348,18:00:21 16 Sep 2018
All polls,9/15/2018,48.9885,53.50552,44.47148,39.90475,43.87831,35.93119,23:19:16 15 Sep 2018
All polls,9/14/2018,48.9038,53.42683,44.38077,39.81883,43.79385,35.84381,15:55:31 14 Sep 2018
All polls,9/13/2018,48.81726,53.33866,44.29586,39.70305,43.697,35.7091,12:35:21 13 Sep 2018
All polls,9/12/2018,48.76472,53.26033,44.26911,39.64524,43.64305,35.64743,09:51:20 12 Sep 2018
All polls,9/11/2018,48.49887,52.99067,44.00707,39.86387,43.90548,35.82226,18:31:19 11 Sep 2018
All polls,9/10/2018,48.3873,52.8979,43.8767,39.88277,43.89141,35.87413,18:00:23 10 Sep 2018
All polls,9/9/2018,48.37365,52.88044,43.86686,39.88341,43.89072,35.87609,18:00:20  9 Sep 2018
All polls,9/8/2018,48.35781,52.86075,43.85488,39.88356,43.88865,35.87848,10:29:18  8 Sep 2018
All polls,9/7/2018,48.27982,52.77792,43.78171,39.85139,43.85128,35.85151,18:00:24  7 Sep 2018
All polls,9/6/2018,48.26617,52.76,43.77235,39.85282,43.85049,35.85515,11:38:39  6 Sep 2018
Voters,9/5/2018,48.9756,53.89485,44.05635,40.14025,44.27345,36.00705,10:30:27  5 Sep 2018
Adults,9/5/2018,46.69889,51.82102,41.57676,37.96518,42.85683,33.07354,10:30:20  5 Sep 2018
All polls,9/5/2018,48.97178,53.90164,44.04191,40.12867,44.2698,35.98755,10:30:17  5 Sep 2018
All polls,9/4/2018,49.56287,54.60619,44.51955,38.98726,43.05487,34.91966,18:57:13  4 Sep 2018
Adults,9/4/2018,46.69889,51.82102,41.57676,37.96518,42.85683,33.07354,18:57:16  4 Sep 2018
Voters,9/4/2018,49.5958,54.62389,44.56771,38.98702,43.04775,34.92628,18:57:23  4 Sep 2018
Adults,9/3/2018,47.49485,52.80869,42.181,37.29023,42.46611,32.11436,18:38:15  3 Sep 2018
